score,title,company,location,start_date,link,job_id
32.3,Technical Team Lead SIEM-Platform (w/m/d),DB InfraGO AG,"Berlin, Frankfurt am Main, Deutschland",Startdatum: ab sofort,https://db.jobs/de-de/Suche/Teamkoordinator-in-SIEM-Plattform-13583834?jobId=602282,602282
29.2,Einkäufer:in Digitalisierung – Einkaufstools & Prozessoptimierung,DB Bahnbau Gruppe GmbH,"Berlin, Deutschland",Startdatum: ab sofort,https://db.jobs/de-de/Suche/Prozessoptimierer-in-Anwendungsbetreuer-in-Einkauftools-13731828?jobId=610842,610842
29.1,Senior Backend Entwickler:in Geospatial Solutions,infraView GmbH,Wo Du Willst-Job,Startdatum: ab sofort,https://db.jobs/de-de/Suche/Senior-Backend-Entwickler-in-Geospatial-Solutions-13776076?jobId=619309,619309
18.0,Projektassistenz mit Fokus kaufmännische Steuerung (w/m/d),DB Zeitarbeit GmbH,"Berlin, Deutschland",Startdatum: 1. April 2026,https://db.jobs/de-de/Suche/Projektassistenz-mit-Fokus-kaufmaennische-Steuerung-w-m-d--13775888?jobId=618693,618693
