score,title,company,location,start_date,link,job_id
32.1,Technical Team Lead SIEM-Platform (w/m/d),DB InfraGO AG,"Berlin, Frankfurt am Main, Deutschland",Startdatum: ab sofort,https://db.jobs/de-de/Suche/Teamkoordinator-in-SIEM-Plattform-13583834?jobId=602282,602282
28.8,Senior Backend Entwickler:in Geospatial Solutions,infraView GmbH,Wo Du Willst-Job,Startdatum: ab sofort,https://db.jobs/de-de/Suche/Senior-Backend-Entwickler-in-Geospatial-Solutions-13776076?jobId=619309,619309
28.8,Einkäufer:in Digitalisierung – Einkaufstools & Prozessoptimierung,DB Bahnbau Gruppe GmbH,"Berlin, Deutschland",Startdatum: ab sofort,https://db.jobs/de-de/Suche/Prozessoptimierer-in-Anwendungsbetreuer-in-Einkauftools-13731828?jobId=610842,610842
28.1,Trainee Digitale Schiene - Projektmanagement Stellwerksprojekte (w/m/d),DB InfraGO AG,"Berlin, Deutschland",Startdatum: 1. September 2026,https://db.jobs/de-de/Suche/Trainee-Digitale-Schiene-Projektmanagement-Stellwerksprojekte--13766644?jobId=616423,616423
28.1,Ingenieur:in als Projektleiter:in S-Bahnstromversorgung,DB Energie GmbH,"Berlin, Deutschland",Startdatum: ab sofort,https://db.jobs/de-de/Suche/Ingenieur-in-als-Projektleiter-in-S-Bahnstromversorgung-13753908?jobId=615037,615037
17.8,Projektassistenz mit Fokus kaufmännische Steuerung (w/m/d),DB Zeitarbeit GmbH,"Berlin, Deutschland",Startdatum: 1. April 2026,https://db.jobs/de-de/Suche/Projektassistenz-mit-Fokus-kaufmaennische-Steuerung-w-m-d--13775888?jobId=618693,618693
15.5,Senior Projektingenieur:in LST Fokus ETCS,DB InfraGO AG,"Berlin, Deutschland",Startdatum: ab sofort,https://db.jobs/de-de/Suche/Senior-Projektingenieur-in-LST-Fokus-ETCS-13767464?jobId=616449,616449
